"county","precinct","office","district","party","candidate","votes"
"Monroe","Chili 11","President",,,"Total votes",473
"Monroe","Chili 12","President",,,"Total votes",443
"Monroe","Chili 13","President",,,"Total votes",631
"Monroe","Chili 14","President",,,"Total votes",442
"Monroe","Chili 15","President",,,"Total votes",374
"Monroe","Chili 16","President",,,"Total votes",842
"Monroe","Chili 17","President",,,"Total votes",1027
"Monroe","Chili 18","President",,,"Total votes",489
"Monroe","Chili 19","President",,,"Total votes",415
"Monroe","Chili 20","President",,,"Total votes",600
"Monroe","Chili 21","President",,,"Total votes",302
"Monroe","Chili 22","President",,,"Total votes",512
"Monroe","Chili 23","President",,,"Total votes",349
"Monroe","Chili 24","President",,,"Total votes",935
"Monroe","Chili 25","President",,,"Total votes",386
"Monroe","Chili 26","President",,,"Total votes",585
"Monroe","Chili 27","President",,,"Total votes",417
"Monroe","Chili 28","President",,,"Total votes",362
"Monroe","Chili 29","President",,,"Total votes",285
"Monroe","Chili 30","President",,,"Total votes",309
"Monroe","Chili 31","President",,,"Total votes",430
"Monroe","Chili 32","President",,,"Total votes",496
"Monroe","Clarkson 1","President",,,"Total votes",641
"Monroe","Clarkson 2","President",,,"Total votes",88
"Monroe","Clarkson 3","President",,,"Total votes",497
"Monroe","Clarkson 4","President",,,"Total votes",717
"Monroe","Clarkson 5","President",,,"Total votes",989
"Monroe","Clarkson 6","President",,,"Total votes",403
"Monroe","East Rochester 1","President",,,"Total votes",489
"Monroe","East Rochester 2","President",,,"Total votes",402
"Monroe","East Rochester 3","President",,,"Total votes",372
"Monroe","East Rochester 4","President",,,"Total votes",369
"Monroe","East Rochester 5","President",,,"Total votes",365
"Monroe","East Rochester 6","President",,,"Total votes",436
"Monroe","East Rochester 7","President",,,"Total votes",385
"Monroe","Gates 1","President",,,"Total votes",271
"Monroe","Gates 2","President",,,"Total votes",359
"Monroe","Gates 3","President",,,"Total votes",385
"Monroe","Gates 4","President",,,"Total votes",411
"Monroe","Gates 5","President",,,"Total votes",442
"Monroe","Gates 6","President",,,"Total votes",433
"Monroe","Gates 7","President",,,"Total votes",816
"Monroe","Gates 8","President",,,"Total votes",306
"Monroe","Gates 9","President",,,"Total votes",469
"Monroe","Gates 10","President",,,"Total votes",234
"Monroe","Gates 11","President",,,"Total votes",302
"Monroe","Gates 12","President",,,"Total votes",282
"Monroe","Gates 13","President",,,"Total votes",446
"Monroe","Gates 14","President",,,"Total votes",327
"Monroe","Gates 15","President",,,"Total votes",648
"Monroe","Gates 16","President",,,"Total votes",316
"Monroe","Gates 17","President",,,"Total votes",403
"Monroe","Gates 18","President",,,"Total votes",455
"Monroe","Gates 19","President",,,"Total votes",364
"Monroe","Gates 20","President",,,"Total votes",364
"Monroe","Gates 21","President",,,"Total votes",351
"Monroe","Gates 22","President",,,"Total votes",300
"Monroe","Gates 23","President",,,"Total votes",378
"Monroe","Gates 24","President",,,"Total votes",677
"Monroe","Gates 25","President",,,"Total votes",338
"Monroe","Gates 26","President",,,"Total votes",493
"Monroe","Gates 27","President",,,"Total votes",526
"Monroe","Gates 28","President",,,"Total votes",327
"Monroe","Gates 29","President",,,"Total votes",395
"Monroe","Gates 30","President",,,"Total votes",256
"Monroe","Gates 31","President",,,"Total votes",322
"Monroe","Gates 32","President",,,"Total votes",424
"Monroe","Gates 33","President",,,"Total votes",207
"Monroe","Gates 34","President",,,"Total votes",369
"Monroe","Gates 35","President",,,"Total votes",273
"Monroe","Greece 1","President",,,"Total votes",362
"Monroe","Greece 2","President",,,"Total votes",461
"Monroe","Greece 3","President",,,"Total votes",344
"Monroe","Greece 4","President",,,"Total votes",335
"Monroe","Greece 5","President",,,"Total votes",297
"Monroe","Greece 6","President",,,"Total votes",327
"Monroe","Greece 7","President",,,"Total votes",437
"Monroe","Greece 8","President",,,"Total votes",395
"Monroe","Greece 9","President",,,"Total votes",405
"Monroe","Greece 10","President",,,"Total votes",361
"Monroe","Greece 11","President",,,"Total votes",200
"Monroe","Greece 12","President",,,"Total votes",267
"Monroe","Greece 13","President",,,"Total votes",332
"Monroe","Greece 14","President",,,"Total votes",287
"Monroe","Greece 15","President",,,"Total votes",354
"Monroe","Greece 16","President",,,"Total votes",279
"Monroe","Greece 17","President",,,"Total votes",527
"Monroe","Greece 18","President",,,"Total votes",457
