Leg. Dist. 07,,,,,,,,,,,
"",1,641,177,326,76,18,22,3,1,0,18
"",3,497,178,230,46,11,10,6,1,0,15
"",4,717,206,379,75,15,18,4,4,0,16
"",5,989,324,417,115,33,31,12,6,1,50
"",6,403,125,195,38,8,15,6,0,1,15
Clarkson,,"3,247","1,010","1,547",350,85,96,31,12,2,114
East Rochester,,,,,,,,,,,
"",1,489,238,168,22,18,8,11,1,2,21
"",2,402,202,132,27,17,7,5,2,1,9
"",3,372,172,129,26,16,10,5,1,2,11
"",4,369,170,137,12,19,8,8,0,1,14
"",5,365,184,110,30,12,9,8,0,0,12
East Rochester,,,,,,,,,,,
"",6,436,213,153,28,7,13,3,3,0,16
"",7,385,171,125,23,29,9,11,3,2,12
East Rochester,,"2,818","1,350",954,168,118,64,51,10,8,95
Gates,,,,,,,,,,,
"",1,271,120,100,22,13,9,4,0,0,3
"",2,359,139,163,21,10,12,1,1,0,12
"",3,385,152,172,31,10,8,6,1,0,5
"",4,411,144,184,39,15,8,2,3,0,16
"",5,442,176,205,31,10,10,3,0,0,7
"",6,433,197,173,28,15,8,3,1,0,8
"",7,816,251,437,58,13,27,6,5,1,18
"",8,306,94,166,23,9,5,1,3,0,5
"",9,469,220,191,21,10,7,6,3,0,11
"",10,234,102,102,19,1,6,3,0,0,1
"",11,302,114,134,25,9,10,1,1,1,7
"",12,282,118,120,16,4,8,4,2,0,10
"",13,446,178,188,33,18,17,5,0,0,7
"",14,327,128,152,22,7,9,1,1,0,7
"",15,648,253,291,40,12,25,5,3,0,19
"",16,316,142,133,22,6,6,3,0,0,4
"",17,403,166,172,28,4,14,2,2,0,15
"",18,455,131,257,40,9,7,2,1,1,7
"",19,364,119,191,25,9,10,4,1,0,5
"",20,364,118,183,29,3,19,5,2,1,4
Gates,,,,,,,,,,,
"",21,351,129,182,21,10,5,0,0,0,4
"",22,300,116,126,31,7,9,2,0,0,9
"",23,378,131,187,36,4,12,0,3,0,5
"",24,677,296,282,43,15,12,3,1,0,25
"",25,338,129,152,24,6,11,10,2,0,4
"",26,493,149,249,48,14,16,2,3,0,12
"",27,526,200,245,36,7,12,1,3,1,21
"",28,327,99,175,22,7,10,0,1,0,13
"",29,395,163,163,30,5,14,7,2,0,11
"",30,256,107,114,23,4,7,0,0,0,1
"",31,322,106,164,25,10,9,1,1,1,5
"",32,424,144,207,35,5,13,5,3,0,12
"",33,207,111,74,5,5,4,1,2,0,5
"",34,369,133,171,25,9,11,5,4,0,11
"",35,273,96,135,18,3,13,1,0,0,7
Gates,,"13,669","5,171","6,340",995,298,383,105,55,6,316
Greece,,,,,,,,,,,
"",1,362,132,150,38,14,5,7,0,0,16
"",2,461,136,224,55,15,16,4,0,0,11
"",3,344,127,164,23,10,9,4,0,0,7
"",4,335,149,131,29,3,11,1,1,0,10
"",5,297,138,115,16,9,6,2,1,2,8
"",6,327,148,114,20,11,10,7,0,0,17
"",7,437,185,164,29,16,10,5,0,0,28
"",8,395,170,139,28,17,10,9,0,0,22
"",9,405,192,119,34,20,13,3,4,1,19
Greece,,,,,,,,,,,
"",10,361,152,131,24,24,13,5,2,0,10
"",11,200,92,77,6,5,6,2,0,0,12
"",12,267,114,102,17,14,5,3,2,0,10
"",13,332,160,122,26,7,5,0,4,0,8
"",14,287,123,111,25,8,6,7,2,0,5
"",15,354,133,156,34,9,10,3,1,1,7
"",16,279,113,122,23,6,4,2,0,0,9
"",17,527,191,258,44,9,13,2,1,1,8
"",18,457,179,198,35,11,10,8,2,1,13
"",19,342,137,136,24,18,7,3,0,0,17
"",20,386,164,132,35,21,13,6,1,0,14
"",21,359,135,137,45,10,16,2,1,0,13
"",22,324,147,117,25,13,6,3,3,0,10
"",23,571,269,212,34,16,10,1,0,2,27
"",24,555,182,276,46,11,18,4,2,0,16
"",25,384,159,143,32,18,10,7,2,1,12
"",26,290,132,95,26,7,13,2,0,1,14
"",27,669,266,273,49,21,17,5,0,0,38
"",28,525,188,246,41,10,11,5,1,0,23
"",29,407,178,161,30,11,12,0,1,0,14
"",30,294,127,101,22,13,9,6,0,1,15
"",31,325,152,123,26,5,8,1,2,0,8
"",32,405,187,132,37,18,10,3,1,0,17
"",33,521,159,259,57,8,15,3,0,1,19
"",34,431,168,165,50,15,11,3,1,0,18
"",35,391,157,149,33,21,8,1,4,0,18
Greece,,,,,,,,,,,
"",36,574,237,237,41,15,8,5,1,0,30
"",37,279,104,115,38,5,8,3,3,0,3
"",38,594,237,253,44,15,18,7,1,0,19
"",39,286,114,127,27,2,6,3,2,0,5
"",40,361,158,135,24,6,15,3,2,0,18
"",41,464,186,189,37,13,14,5,1,1,18
"",42,377,182,118,33,7,13,5,2,0,17
"",43,439,131,218,57,14,11,3,0,0,5
"",44,580,211,264,42,14,14,6,2,0,27
"",45,689,210,350,65,12,18,7,2,0,25
"",46,304,161,77,28,14,7,3,0,0,14
"",47,411,179,148,39,16,14,6,2,0,7
"",48,302,126,121,23,7,6,0,0,0,19
"",49,294,117,132,20,7,7,4,1,0,6
"",50,388,165,153,40,10,9,1,0,0,10
"",51,268,107,123,16,8,5,0,1,1,7
"",52,532,207,238,48,11,11,6,1,0,10
"",53,444,259,112,23,19,10,3,0,0,18
"",54,488,168,234,44,11,15,3,1,0,12
"",55,316,136,119,37,7,6,1,0,1,9
"",56,490,199,197,39,15,17,9,1,0,13
"",57,420,166,185,32,10,7,6,1,0,13
"",58,530,217,225,41,12,13,2,2,0,18
"",59,365,223,64,29,18,7,4,0,0,20
"",60,368,154,156,23,10,8,1,2,0,14
"",61,437,210,155,26,11,6,4,3,0,22
Greece,,,,,,,,,,,
"",62,540,238,213,42,9,9,9,0,0,20
"",63,477,218,172,38,15,13,7,1,0,13
"",64,347,136,158,19,11,6,3,0,2,12
"",65,385,191,150,16,7,4,3,2,0,12
"",66,234,90,105,20,5,5,3,1,1,4
"",67,379,125,181,35,11,9,6,1,0,11
"",68,491,177,226,47,11,15,5,0,0,10
"",69,276,92,134,28,3,7,1,2,1,8
"",70,"1,126",360,602,76,19,25,6,4,0,34
"",71,517,205,221,40,11,7,7,0,0,26
"",72,600,237,254,60,5,10,4,4,0,26
"",73,266,109,110,27,9,4,0,2,0,5
"",74,438,221,132,25,15,12,12,0,0,21
"",75,353,130,159,28,8,6,4,1,1,16
"",76,327,75,195,30,9,6,2,2,0,8
"",77,480,221,194,23,15,6,2,2,0,17
"",78,310,119,137,24,12,8,2,0,0,8
"",79,788,285,360,79,7,24,7,3,0,23
"",80,548,190,272,53,10,10,3,0,0,10
"",81,269,117,121,14,7,3,1,0,1,5
"",82,514,273,141,30,25,15,5,1,0,24
"",83,278,142,99,15,4,5,3,0,0,10
"",84,501,218,193,42,11,14,6,2,0,15
"",85,532,196,228,53,19,13,2,0,0,21
"",86,517,201,251,39,1,7,5,3,1,9
"",87,381,154,152,33,17,7,3,1,0,14
Greece,,,,,,,,,,,
"",88,425,179,176,41,6,8,4,1,0,10
"",89,351,147,142,23,10,7,1,4,0,17
"",90,535,165,251,59,8,15,6,5,1,25
"",91,735,247,364,62,9,18,6,6,0,23
"",92,687,294,273,64,10,10,3,2,0,31
"",93,591,279,217,34,20,16,7,0,0,18
"",94,484,176,222,39,15,15,4,0,0,13
"",95,326,158,121,9,10,9,7,0,0,12
"",96,538,233,212,48,11,13,3,2,0,16
"",97,744,278,347,65,12,12,5,3,0,22
"",98,764,306,334,47,19,21,8,2,0,27
"",99,485,134,244,52,16,9,5,0,0,25
"",100,653,236,309,50,17,15,3,4,0,19
"",101,283,94,142,25,10,4,1,0,0,7
"",102,674,220,334,59,21,16,2,0,0,22
"",103,503,183,243,47,9,5,4,2,0,10
"",104,357,138,157,27,7,15,1,0,0,12
"",105,569,189,299,43,8,11,3,1,0,15
"",106,412,132,213,38,9,7,0,0,0,13
"",107,344,104,190,23,7,6,1,0,0,13
"",108,353,115,170,33,10,14,2,0,0,9
"",109,617,232,293,34,14,22,2,3,0,17
Greece,,"47,910","19,064","20,312","3,892","1,267","1,147",418,137,23,"1,650"
Henrietta,,,,,,,,,,,
"",1,533,227,212,39,17,14,6,6,1,11
"",2,422,192,152,28,16,13,2,2,0,17
Henrietta,,,,,,,,,,,
"",3,320,200,71,12,5,5,10,3,0,14
"",4,509,314,124,20,19,8,7,1,2,14
"",5,459,213,171,35,11,11,2,2,0,14
"",6,435,201,153,32,15,13,9,0,1,11
"",7,355,179,123,28,8,6,4,1,0,6
"",8,434,203,160,22,13,12,7,3,1,13
"",9,374,212,107,24,7,12,2,2,0,8
"",10,436,200,152,31,19,8,7,1,0,18
"",11,427,253,112,26,9,11,3,0,1,12
"",12,412,171,161,34,7,17,9,0,0,13
"",13,728,375,239,49,15,13,6,5,1,25
"",14,425,211,142,26,15,12,1,1,0,17
"",15,560,267,202,34,19,15,5,2,0,16
"",16,302,160,84,20,18,6,6,2,0,6
"",17,487,251,150,40,13,12,6,1,1,13
"",18,525,270,177,30,14,10,8,1,0,15
"",19,396,180,164,19,10,6,7,1,2,7
"",20,745,335,283,42,15,22,13,4,1,30
"",21,349,160,129,34,9,3,5,0,0,9
"",22,643,313,222,46,21,9,6,4,0,22
"",23,472,246,152,30,14,9,5,3,0,13
"",24,573,279,185,24,25,14,13,0,0,33
"",25,394,173,150,34,12,7,8,1,0,9
"",26,856,396,320,70,21,13,8,0,2,26
"",27,731,318,290,48,18,21,4,2,2,28
"",28,510,213,202,43,19,12,6,5,1,9
Henrietta,,,,,,,,,,,
"",29,"1,430",745,455,87,32,31,19,4,2,55
"",30,"1,057",574,314,44,32,28,8,5,0,52
"",31,324,195,75,18,2,4,9,0,1,20
"",32,667,374,221,35,10,13,2,0,0,12
"",33,347,147,127,21,20,10,6,2,0,14
"",34,310,160,98,17,12,5,3,0,0,15
"",35,635,280,254,54,11,11,10,3,0,12
Henrietta,,"18,582","9,187","6,333","1,196",523,416,232,67,19,609
Irondequoit,,,,,,,,,,,
"",1,655,348,200,40,21,13,6,1,0,26
"",2,325,162,109,21,8,13,3,1,0,8
"",3,519,258,166,25,27,17,8,0,0,18
